Product_Key,SKU,FNSKU,ASIN,Parent ASIN,Is Parent,Brand,Title
11,IT_Aava_Spirulina_Chlorella_700_180_01,X000VZMYDX,B07GBFMRMR,No Parent,0,Aavalabs,Integratore di Spirulina Clorella Bio in Capsule[1800 mg] di AAVALABS - Alga Spirulina Compresse 200 - Miscela di Alghe Naturali di Alta Qualità con Fitonutrienti - Perfetto per Frullati - Vegano
12,UK_Aava_Vitamin_C_180_01,X000W2NME5,B07GH48YC6,No Parent,0,Aavalabs,"Natural Vitamin C High Strength - 180 Capsules - 100% Vegan Acerola Fruit Extract - with Natural Citrus Flavonoids, Rosehip, Camu Camu - Supports Nervous System, Immune Function - 3 Months Supply"
13,IT_Aava_Spirulina_Chlorella_700_180_01,X000VZMYDX,B07GBFMRMR,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
14,ES_Aava_Spirulina_Chlorella_700_180_01,X000W93H0H,B07GWNXM53,No Parent,0,Aavalabs,"Cápsulas de Espirulina y Chlorella [1800 mg/Dosis Diaria] 200 Comprimidos - Fuente de Vitaminas, Proteínas, Hierro, Fitonutrientes y Calcio - 100% Vegano"
15,ES_Aava_Vitamin_C_180_01,X000WK8ZX5,B07GH48YD7,No Parent,0,Aavalabs,"Vitamina C Pura Altamente Concentrada - 915 mg de Vitamina C por Dosis Diaria (2 cápsulas) - 180 Cápsulas - Con Flavonoides de Fruta Cítrica, Camu Camu y Acerola - Complemento Alimenticio 100% Vegano"
16,ES_Aava_Spirulina_Chlorella_700_180_01,X000W93H0H,B07GWNXM53,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
17,ES_Aava_Vitamin_C_180_01,X000WK8ZX5,B07GH48YD7,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
18,FR_Aava_Spirulina_Chlorella_700_180_01,X000WD4A2R,B07H36MLFB,No Parent,0,Aavalabs,Gélules de Spiruline Chlorella BIO [ 1800 mg ] - 180 Gélules - Parfait pour Smoothies et Jus - 100% Végétalien et Sans Gluten - Fabriqué en Europe
19,IT_Aava_Vitamin_C_180_01,X000WCE1X1,B07HDCS5R1,No Parent,0,Aavalabs,Vitamina C Naturale - 915 mg di Vit C per dose giornaliera (2 capsule) - Con Flavonoidi di Agrumi - Camu Camu e Estratto di Acerola - Per la Funzione Immunitaria e la Salute della Pelle - 180 Capsule
20,IT_Aava_Vitamin_C_180_01,X000WCE1X1,B07HDCS5R1,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
21,FR_Aava_Vitamin_C_180_01,X000WY85DV,B07JVPP2XF,No Parent,0,Aavalabs,"Vitamine C Pure - Naturel et Hautement Concentré - 100% Végétalien - Avec des flavonoïdes d'agrumes, de camu camu et d'acérola - Soutient le système immunitaire et réduit la fatigue - 180 capsule"
22,ES_Aava_D3_5000iu_360_01,X000WYL1ZP,B07JBP4X9H,No Parent,0,Aavalabs,Vitamina D3 Natural [5000 UI] Depot - Altamente Concentrada - con Aceite de Oliva Extra Virgen para una Absorción Óptima - Favorece la Función Ósea e Inmunológica - Complemento Alimenticio - 365 Cáps
23,IT_Aava_D3_5000iu_360_01,X000X0U1QX,B07JBC3GWM,No Parent,0,Aavalabs,"Integratore Vitamina D3 ad Alta Concentrazione [5000 UI] - Con Olio Extra Vergine di Oliva per un Assorbimento Ottimale - Supporta la Funzione Ossea, Muscolare e Immunitaria - 365 Capsule Softgel."
24,FR_Aava_D3_5000iu_360_01,X000WZN73N,B07JCGX3CG,No Parent,0,Aavalabs,"Vitamine D3 Naturelle à Haute Concentration [5000 UI] Depot - Avec Huile d’Olive Extra Vierge pour une Absorption Optimale - Soutient les Fonctions Osseuse, Musculaire et Immunitaire - 365 Gélules"
25,ES_Aava_D3_5000iu_360_01,X000WYL1ZP,B07JBP4X9H,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
26,DE_Aava_Vegan_O3_60_02,X000XPVJG9,B07KB28H4B,No Parent,0,Aavalabs,Omega 3 Vegan [1100 mg ] - Omega-3-Fettsäuren aus Algenöl - 300 EPA and 600 DHA pro Tagesdosis - 100% pflanzlich - Unterstützt normale Gehirnleistung & Sehkraft - 120 Weichkapseln
27,UK_Aava_Maca_180_01,X000XOUTVL,B07KPP2V98,No Parent,0,Aavalabs,"Maca Root Capsules 5600mg - 180 Vegan Capsules - Contains L - Arginine, Cordyceps, Acerola Extract, Vitamin B6, Vitamin B12 and Zinc - Made in EU"
28,IT_Aava_Magnesium_400mg_120_01,X000UKG967,B07CXWG8Z9,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
29,DE_Aava_Fullnesium_180_01,X000Z0QOMB,B07MW9GTSR,No Parent,0,Aavalabs,"Magnesium Komplex - 400mg elementares Magnesium je Tagesdosis - 180 Kapseln - Hohe bioverfügbarkeit (TRAACS®) aus: Magnesiumcitrat, Magnesiumglycinat, Magnesiummalat, Magnesiumtaurat & Magnesiumoxid"
30,ES_Aava_Fullnesium_180_01,X000ZDF1QX,B07NXST2Q9,No Parent,0,Aavalabs,"Complejo de Magnesio Premium - Citrato de Magnesio, Óxido de Magnesio, Malato de Magnesio, Taurato de Magnesio - 180 Cápsulas - 400 mg/Dosis Diaria - 100% Vegano"
31,FR_Aava_Fullnesium_180_01,X000ZDFQHH,B07NXTVSNR,No Parent,0,Aavalabs,"Complexe de Magnésium Fullnesium [ 1561 mg ] - Contient du malate de magnésium, du citrate, du bisglycinate et du taurate - Avec 400 mg de magnésium élémentaire par dose quotidienne | 180 gélules"
32,IT_Aava_Fullnesium_180_01,X000Z9GJ6X,B07NYQ3X5R,No Parent,0,Aavalabs,"Complesso di Magnesio Premium [1561 mg] - Con Malato, Citrato, Biglicinato, Taurato & Ossido di Magnesio - Integratore Magnesio ad elevato assorbimento - Per Energia, Muscoli e ossa - 180"
33,UK_Aava_Vitamin_B_Complex_180_02,X0010EFPCB,B07P1T8J4P,No Parent,0,Aavalabs,"Vitamin B Complex High Strength Capsules - Includes Essential Multi B-Vitamins B12 Tablets, B6, Vitamin B3, B5, Biotin, Folate, Niacin, Inositol - 1 Capsule Daily (180 Capsule Supply) - 100% Vegan"
34,ES_Aava_Vitamin_B_Complex_180_02,X000ZPZBGL,B07P5833LZ,No Parent,0,Aavalabs,"Complejo de Vitamina B - 180 Cápsulas para 6 Meses - 296,3 mg/Dosis Diaria - 8 Vitaminas B: B1, B2, B3, B5, B6, Biotina, B9 (Folato) y B12 - Refuerza el Metabolismo - 100% Vegano"
35,IT_Aava_Vitamin_B_Complex_180_02,X000ZPFFSP,B07P57TCTL,No Parent,0,Aavalabs,"Vitamina B Complex ad Alto Dosaggio di AAVALABS - con Vitamine B1, B2, B3, B5, B6, B12, Biotina e Acido Folico - 180 Compresse Vegan - 6 Mesi di Assunzione - Integratore Alimentare Senza Additivi"
36,FR_Aava_Beta_Caroten_25_180_01,X000ZVEWY7,B07PH3WCF3,No Parent,0,Aavalabs,"Bêta-Carotène [25000 iu] - 180 Gélules - avec Lyc-O-Beta Breveté et Huile d’Olive Extra Vierge - Soutien Naturel pour le Bronzage, la Santé des Yeux et de la Peau et du Système Immunitaire"
37,IT_Aava_Beta_Caroten_25_180_01,X000ZZDLIL,B07PH2191C,No Parent,0,Aavalabs,"Integratore Betacarotene - 25000 IU - Vegan con Lyc-O-Beta e Olio Extra Vergine di Oliva – Sostegno Naturale per Abbronzatura, Occhi, Pelle - Integratore capelli e per il sistema immunitario - 180"
38,ES_Aava_Beta_Caroten_25_180_01,X0010HJWDB,B07PH3X8RV,No Parent,0,Aavalabs,"Betacaroteno [ 25 000 ui ] Vitamina A - 180 Cápsulas con Patentado Lyc-O-Beta - Con Aceite de Oliva Extra Virgen - Apoyo Natural Para el Bronceado, Ojos, Piel y Sistema Inmunológico"
39,UK_Aava_Fullnesium_180_02,X0010J2PH9,B07PT8N8GP,No Parent,0,Aavalabs,"Advanced Magnesium Supplement [ 1561 mg ] - 180 Capsules - with Malate, Citrate, Magnesium Chelated Bisglycinate, Taurate & Oxide - High Potency & Absorption - for Energy, Muscles & Bones - Vegan"
40,IT_Aava_Beta_Caroten_25_180_01,X000ZZDLIL,B07PH2191C,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
41,ES_Aava_Beta_Caroten_25_180_01,X0010HJWDB,B07PH3X8RV,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
42,DE_Aava_Vitamin_B_Complex_180_03,X0010NNPBZ,B07QXPNGQJ,No Parent,0,Aavalabs,Vitamin B Komplex Hochdosiert - 6 Monate Vorrat (180 Kapseln) - enthält 8 essentielle B Vitamine inkl. B12 B1 B6 B7 mit Biotin und Folsäure - 100% vegan - getestet durch unabhängige Drittlabore
43,DE_Magnesium_120,X000HFUBNH,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
44,ES_Aava_Omega_2000mg_120_01,X000LOAJOF,B01M3U8Y9M,B0913DH4Y1,0,Aavalabs,Omega 3 de Aceite de Pescado [2000 mg] - 1000 mg EPA y 500 mg DHA - Alta Potencia - Destilado Molecularmente para mayor pureza - Fuente de Ácidos Grasos - 120 cápsulas blandas - suministro de 60 días
45,FR_Aava_Vitamin_B_Complex_180_03,X0010R0IF7,B07R5ZHBRJ,No Parent,0,Aavalabs,"Complexe de Vitamine B - 180 Capsules - 286,3 mg/Dose Quotidienne - Réduction de la Fatigue et Lassitude - Favorise le Métabolisme Énergétique Normal - 100% Végétalien - Qualité Nordique d'AAVALABS"
46,ES_Aava_Vitamin_B_Complex_180_02,X000ZPZBGL,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
47,DE_Aava_K2_Drop_200ug_50ml_02,X0010PXF5T,B07RBWFM1T,No Parent,0,Aavalabs,"Vitamin k2 Tropfen Hochdosiert - 200µg 50ml - 1750 vegane Tropfen - MK-7 99,7% Höchster All-Trans Gehalt - Unterstützt Normale Knochen - Laborgeprüft"
48,DE_Aava_Leanergy_90_02,X0012LPHVB,B07WW7DRQQ,No Parent,0,Aavalabs,"Premium Grüntee-Extrakt Komplex - mit Grünem Kaffee, Guarana-Extrakt + Garcinia Cambogia - Hochdosiert - 95% Polyphenole - 100% natürliche Inhaltsstoffe - Vegan - 90 Kapseln"
49,DE_Aava_Premium_Probiolac_90_02,X0012EFW1D,B07WV3QJLD,B08Q4FNGYQ,0,Aavalabs,Premium Kulturen Komplex [ 120 Mrd KBE ] je Tagesdosis - 30 Bakterienstämme (3x höher als andere) + Zink - 90 Magensaftresistente Kapseln (DRcaps®) - Laborgeprüft
50,IT_Aava_Vitamin_B_Complex_180_02,X000ZPFFSP,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
51,ES_Aava_Fullnesium_180_01,X000ZDF1QX,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
52,UK_Aava_Premium_Probiolac_90_02,X0013D3TKT,B07YWZ86BM,B08P3HP9MH,0,Aavalabs,Bio Cultures Complex [ 120 Billion CFU ] 30x Bacterial Strains incl. Lactobacillus Acidophilus & Bifidobacterium per Serving - 90 Delayed Release (DRcaps) Acidophilus Capsules - Vegan - Lactose Free
53,DE_Aava_Beauty_90_01,X0013J5A0P,B07Z9FS699,No Parent,0,Aavalabs,"AAVALABS Kollagen Hydrolysat Kapseln [ 2500 mg ] pro tagesdosis - Natürliche Strahlkraft mit Hyaluronsäure 500-700 kDa und Vitamin C, Selen, Zink"
54,DE_Aava_Triple_Zinc_180_01,X0013J5AZ5,B07Z9FM321,No Parent,0,Aavalabs,"Zink Komplex [ 25mg ] mit Vitamin C - 3X Arten Zink: Picolinat, Monomethionin + Bisglycinat (Chelat) von Albion® - Breitband-Mischung mit hoher Bioverfügbarkeit - Vegan & laborgeprüft - 180 Kapseln"
55,UK_Aava_Triple_Zinc_180_01,X0014BP1YH,B082J2ZH9Z,No Parent,0,Aavalabs,"Triple Zinc 25mg per Serving - Natural Zinc - Complex of Vitamin C and Zinc - 180 Zinc Tablets High Strength - 3X Forms of Zinc and Vitamin C - Picolinate, Bisglycinate, Zinc Monomethionine"
56,UK_Aava_Beauty_90_01,X0014D83A9,B082MMPBNG,No Parent,0,Aavalabs,"Premium Hydrolyzed Porcine Collagen Capsules - Supports Hair Growth, Skin, Nails and Joints - Contains Vitamin C, Hyaluronic Acid, Zinc, Biotin, Selenium - 90 Capsules - Non-GMO - Natural Skin Glow"
57,ES_Aava_Triple_Zinc_180_02,X0014VL8N5,B083V4MH39,No Parent,0,Aavalabs,"AAVALABS® - Triple Zinc Premium - 25mg - Altamente concentrado - 3x Formas de Zinc -Picolinato, Bisglicinato y Monometionina - 180 Cápsulas - Testado en laboratorio y apto para veganos."
58,ES_Aava_Triple_Zinc_180_02,X0014VL8N5,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
59,ES_Aava_Leanergy_90_02,X00150LYVV,B08475TXQ6,No Parent,0,Aavalabs,"Quemagrasas - Apoya a la pérdida de peso + Acelera el Metabolismo - Termogénico natural con Té Verde, Extracto de Café Verde y Garcinia Cambogia - 95% Polifenoles - 90 Cápsulas."
60,FR_Aava_Leanergy_90_02,X001520AMX,B0847RMCL2,No Parent,0,Aavalabs,"Leanergy - Brûleur de Graisse Naturel en Capsules à l'Extrait de Thé Vert, Guarana, Garcinia Cambogia - Soutien à la Perte de Poids et Métabolisme des Graisses - 60% - Composés Naturels - Végétalien"
61,ES_Aava_Leanergy_90_02,X00150LYVV,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
62,FR_Aava_Premium_Probiolac_90_02,X0015JVYKN,B084ZLR2D9,B092ZXC3XB,0,Aavalabs,Complexe Probiolac Premium - Ferments Lactiques - Haute Puissance 120 Nilliards UFC - Spectre Complet - 30 Souches de Bonnes Bactéries - 90 capsules
63,ES_Aava_Premium_Probiolac_90_03,X0015JYF6D,B084ZMSZ6J,No Parent,0,Aavalabs,Premium Probiótico [ 120 Mil Millones de UFC ] 30x Cepas Bacterianas incl. Lactobacillus Acidophilus & Bifidobacterium por Dosis - 90 Cápsulas de Liberación Retardada (DRcaps®) - Vegano
64,ES_Aava_Premium_Probiolac_90_03,X0015JYF6D,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
65,UK_Aava_Vegan_O3_120_04,X0015O4VZX,B08576VCZW,No Parent,0,Aavalabs,Premium Vegan Omega 3 High Strength - [ 1100 mg ] - 600 mg DHA Omega 3 and 300 mg EPA per Daily dose - 120 Algae Omega 3 Capsules with Vitamin E - from Sustainable Plant-Based Algae Oil - 100% Vegan
66,NL_Aava_Omega_2000mg_120_01,X0018KN4MZ,B01H1WPOF0,No Parent,0,Aavalabs,Premium Omega 3 Fischöl [ 2000mg ] - Hochdosiert - Molekular destilliert für höchste Reinheit und Frische - Quelle für Fettsäuren- 1000mg EPA - 500mg DHA - 120 Softgel-Kapseln - 60 Tage Vorrat
67,NL_Magnesium_120,X0018KN4M5,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
68,FR_Aava_Triple_Zinc_180_01,X0019CU4WP,B08HZGF7B4,No Parent,0,Aavalabs,"Triple Zinc Complement Alimentaire AAVALABS - Haute puissance - 25mg par Portion - Picolinate, Bisglycinate + Monomethionine - Formule à Spectre complet - 180 Tablettes - 3 Formes de Zinc"
69,ES_Aava_Beauty_90_01,X001APR3BV,B08J19XXFL,No Parent,0,Aavalabs,"Complejo de Colágeno Hidrolizado Premium – Con Vitamina C, Colageno Acido Hialuronico capsulas, Selenio Zinc, Biotina para el cabello - Vitaminas para el Cabello, Articulaciones, Piel y Uñas"
70,ES_Aava_Vegan_O3_120_02,X001A8CBJH,B08K9BNFS7,B0913DH4Y1,0,Aavalabs,Omega 3 Vegano AAVALABS [ 1100 mg ] - de Aceite de Algas de Origen Vegetal Sostenible 600 mg DHA + 300 mg EPA por Dosis Diaria - Pureza Nórdica - 100% Vegano - 120 Cápsulas Blandas
71,FR_Aava_Beauty_90_01,X001ARGZQD,B08K9D3BJL,No Parent,0,Aavalabs,"Collagene et Acide Hyaluronique gelules [ 2500 mg ] Complement Alimentaire Peau - Premium Collagen Complex avec Vitamine C Zinc, Selenium et Biotine - Vitamine Cheveux - 90 collagene gelules"
72,FR_Aava_Vegan_O3_120_02,X0019CVEGZ,B08K99KS8Z,B0929721G7,0,Aavalabs,Oméga 3 Vegan [ 1100 mg ] - Vegan Omega 3 provenant des huiles d’algues d’origine végétale durable avec 600 mg de DHA + 300 mg d’EPA par dose journalière - 100% végétalien - Une réserve de 2 mois
73,IT_Aava_Triple_Zinc_180_01,X0018XFB5P,B08KDT2NB5,No Parent,0,Aavalabs,"Triple Zinc di AAVALABS - Integratore Alimentare di Zinco - Alta Potenza - 25 mg per Porzione - 3 tipi di Zinco - Picolinato, Bisglicinato + Monometionina - Miscela a spettro completo - 180 Pastiglie"
74,IT_Aava_Triple_Zinc_180_01,X0018XFB5P,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
75,IT_Aava_Fullnesium_180_01,X000Z9GJ6X,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
76,ES_Aava_Vegan_O3_120_02,X001A8CBJH,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
77,IT_Aava_Premium_Probiolac_90,X001ACTH09,B08QJP9DZH,B08SWNCMFM,0,Aavalabs,Fermenti Lattici Probiotici Premium [ 120 Miliardi di UFC ] 30 Ceppi Batterici - Lactobacillus Acidophilus e Bifidobacterium per Porzione - 90 Capsule a rilascio Ritardato
78,IT_Aava_Premium_Probiolac_90,X001ACTH09,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
79,ES_Aava_Beauty_90_01,X001APR3BV,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
80,IT_Aava_Leanergy_90,X001AU3H9D,B08SMN3817,No Parent,0,Aavalabs,"Integratore Bruciagrassi Premium - con Estratto di Tè Verde, Caffè Verde, Garcinia Cambogia extra forte ed Estratto di Guarana compresse - 95% Polifenoli - 100% Ingredienti Naturali - 90 Capsule"
81,IT_Aava_Leanergy_90,X001AU3H9D,B01BSQQBZW,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
82,De_Aava_Omega_2000mg_120_01,X000JNG7PD,B01H1WPOF0,No Parent,0,Aavalabs,Premium Omega 3 Fischöl [ 2000mg ] - Hochdosiert - Molekular destilliert für höchste Reinheit und Frische - Quelle für Fettsäuren- 1000mg EPA - 500mg DHA - 120 Softgel-Kapseln - 60 Tage Vorrat
83,DE_Turmeric_500_120,X000HFNH1P,B01CSNQ3EI,No Parent,0,Aavalabs,"AAVALABS® Kurkuma Kapseln Hochdosiert - [ 4230 mg ] 95% Curcumin Extrakt Komplex, Curcuma Pulver und Piperin pro Tagesdosis - 180 Kapseln - Vegan & Laborgeprüft - Hergestellt in der EU."
84,DE_Aava_Probiotic_10B_60_01,X000KBAUTD,B01J3Y57UQ,B08Q4FNGYQ,0,Aavalabs,"Kulturen Komplex [ 60 Mrd KBE ] je Tagesdosis - 15 Bakterienstämme u.a. Acidophilus, Lactobacillus, Bifidobacterium + Zink (für Immunsystem) - Laborgeprüft & Vegan - 60 Kapseln"
85,DE_Aava_D3_5000iu_360_01,X000K7FM45,B01I5DF1U2,No Parent,0,Aavalabs,"Vitamin D3 DEPOT [ 5000 IU ] Hochdosiert - Kaltgepresstes natives Olivenöl extra für optimale Absorption - Ohne Gentechnik, glutenfrei und laktosefrei - Trägt zur Funktion von Knochen, Muskeln und Immunsystem bei - 365 Kapseln"
86,ES_Aava_Probiotic_10B_60_01,X000MN04ZJ,B01N9JNOQ6,No Parent,0,Aavalabs,"Probiótico [ 50 Miles de millones UFC ] - Fórmula de amplio espectro - 20 cepas - Incluye lactobacilos, bífidobacterias y estreptococos - Zinc agregado para el Sistema Inmunológico - 60 cápsulas"
87,DE_Aava_Beta_Caroten_25_180_01,X000O4R4S1,B06XXMJ32C,No Parent,0,Aavalabs,Beta Carotin Kapseln [ 25 000 IE ] - mit patentiertem Lyc-O-Beta und Extra Virgin Olivenöl für einen strahlenden Teint - Natürliche Unterstützung von Eisenstoffwechsel und Haut - 180 Softgel-Kapseln
88,DE_Aava_Spirulina_Chlorella_700_180_01,X000O5NSCV,B06XXMKJKC,No Parent,0,Aavalabs,"Bio Spirulina Chlorella Algen Kapseln - [ 1800 mg ] - 200 Pulver Kapseln - Hochdosiert, 100% vegan und glutenfrei - Hochwertige Pflanzeninhaltsstoffe aus Spirulina Alge - In Europa hergestellt."
89,FR_Aava_Omega_2000mg_120_01,X000NVD83F,B06XHNSGZB,B0929721G7,0,Aavalabs,Huile de Poisson Omega 3 [ 2000 mg ] par AAVALABS - Extra Fort - 120 Gélules - Distillée Moléculairement pour Pureté et Fraîcheur - 1000 mg d’AEP et 500 mg d’ADH par Dose Journalière - Sans OGM
90,IT_Aava_Omega_2000mg_120_01,X000NU8DBN,B06XH8S2N8,No Parent,0,Aavalabs,Olio di pesce con Omega 3 2000mg - Elevata Potenza - Distillato Molecolarmente - Fonte di Acidi Grassi - 1000 mg di EPA - 500 mg di DHA - 120 capsule molli
91,IT_Aava_Omega_2000mg_120_01,X000NU8DBN,B06XH8S2N8,No Parent,0,Aavalabs,Magnesiumcitrat [ 448mg ] elementares Magnesium pro Tagesdosis - VERGLEICHSSIEGER 2020-180 Kapseln - Nordische Reinheit ohne unerwünschte Zusätze
